Time,Lat,Long,Alt
1567044276.18482208251953125,37.8024869,-122.4160784,-6.842
1567044277.1850249767303466796875,37.8024782,-122.416147,-6.429
1567044278.1852281093597412109375,37.8024735,-122.416186,-6.257
1567044279.185431003570556640625,37.80247,-122.4162109,-6.534
1567044280.185634136199951171875,37.8024625,-122.4162486,-6.662
1567044281.1858370304107666015625,37.8024482,-122.4163112,-6.732
1567044282.186038970947265625,37.8024294,-122.4163909,-6.762
1567044283.1862409114837646484375,37.8024121,-122.4164746,-6.343
1567044284.1864430904388427734375,37.8023991,-122.4165585,-5.463
1567044285.186645030975341796875,37.802389,-122.4166465,-3.799
1567044286.1868469715118408203125,37.8023777,-122.4167407,-2.024
1567044287.18704986572265625,37.8023641,-122.4168404,-0.179
1567044288.187252044677734375,37.8023504,-122.4169451,1.775
1567044289.1874530315399169921875,37.8023339,-122.4170516,3.984
1567044290.187654972076416015625,37.8023169,-122.4171586,6.214
1567044291.1878559589385986328125,37.8023009,-122.4172627,8.253
1567044292.1880588531494140625,37.8022861,-122.4173599,9.885
1567044293.1882610321044921875,37.8022728,-122.4174531,11.392
1567044294.18846416473388671875,37.8022596,-122.4175446,12.902
1567044295.1886651515960693359375,37.8022474,-122.4176279,14.627
1567044296.188867092132568359375,37.8022383,-122.4176971,15.804
1567044297.1890699863433837890625,37.8022331,-122.4177508,16.594
1567044298.1892721652984619140625,37.802229,-122.4177968,17.353
1567044299.1894729137420654296875,37.8022265,-122.4178326,18.01
1567044300.189673900604248046875,37.8022247,-122.4178543,18.545
1567044301.1898748874664306640625,37.8022236,-122.417873,19.199
1567044302.1900768280029296875,37.8022186,-122.4178993,19.321
1567044303.1902790069580078125,37.8022024,-122.4179348,19.429
1567044304.1904790401458740234375,37.8021678,-122.4179679,20.032
1567044305.190680027008056640625,37.8021139,-122.4179877,20.359
1567044306.1908810138702392578125,37.8020422,-122.4179863,20.806
1567044307.191082000732421875,37.8019569,-122.4179725,21.511
1567044308.1912839412689208984375,37.8018636,-122.4179552,22.13
1567044309.191484928131103515625,37.8017716,-122.4179377,23.011
1567044310.1916859149932861328125,37.8016844,-122.417921,23.691
1567044311.1918871402740478515625,37.801604,-122.4179054,24.628
1567044312.1920859813690185546875,37.8015281,-122.41789,25.907
1567044313.1922891139984130859375,37.8014565,-122.4178761,26.229
1567044314.1924889087677001953125,37.8013852,-122.4178603,27.237
1567044315.1926882266998291015625,37.8013107,-122.4178432,27.996
1567044316.192883968353271484375,37.8012343,-122.4178297,29.94
1567044317.1930849552154541015625,37.8011546,-122.4178148,30.706
1567044318.1932830810546875,37.8010751,-122.4177988,32.387
1567044319.1934831142425537109375,37.8009943,-122.4177824,33.8
1567044320.1936829090118408203125,37.8009128,-122.4177652,34.917
1567044321.19388484954833984375,37.8008316,-122.4177493,35.576
1567044322.19408893585205078125,37.8007505,-122.4177323,35.718
1567044323.1942920684814453125,37.8006764,-122.4177188,35.852
1567044324.194492816925048828125,37.8006131,-122.4177063,36.626
1567044325.1946938037872314453125,37.8005615,-122.4176957,36.912
1567044326.1948931217193603515625,37.8005246,-122.4176873,37.915
1567044327.195095062255859375,37.8005045,-122.4176845,37.737
1567044328.1952970027923583984375,37.8004868,-122.4176799,37.725
1567044329.1955001354217529296875,37.8004556,-122.4176735,37.31
1567044330.195703029632568359375,37.8004077,-122.4176637,36.589
1567044331.195906162261962890625,37.8003438,-122.4176503,36.394
1567044332.19610691070556640625,37.8002655,-122.4176334,36.661
1567044333.1963059902191162109375,37.800183,-122.4176155,38.582
1567044334.196504116058349609375,37.8000993,-122.4176004,41.668
1567044335.19670391082763671875,37.8000174,-122.4175854,44.221
1567044336.1969039440155029296875,37.7999356,-122.4175679,46.612
1567044337.197105884552001953125,37.7998559,-122.4175503,48.406
1567044338.1973078250885009765625,37.7997832,-122.4175343,50.008
1567044339.1975100040435791015625,37.7997199,-122.4175231,51.293
1567044340.19770908355712890625,37.799671,-122.4175114,53.363
1567044341.197908878326416015625,37.7996327,-122.4175013,54.547
1567044342.1981098651885986328125,37.7995973,-122.4174895,55.355
1567044343.1983091831207275390625,37.7995667,-122.4174789,56.917
1567044344.1985070705413818359375,37.7995502,-122.4174732,58.417
1567044345.1987111568450927734375,37.7995354,-122.4174759,57.93
1567044346.198913097381591796875,37.7995115,-122.4174794,58.037
1567044347.1991150379180908203125,37.7994816,-122.4174959,57.512
1567044348.19931697845458984375,37.7994534,-122.4175372,57.371
1567044349.199520111083984375,37.7994279,-122.4176057,56.626
1567044350.1997230052947998046875,37.7994097,-122.4176861,56.301
1567044351.199925899505615234375,37.7993979,-122.4177768,56.103
1567044352.2001268863677978515625,37.7993865,-122.4178707,56.318
1567044353.20032787322998046875,37.7993746,-122.4179683,56.64
1567044354.2005298137664794921875,37.7993623,-122.4180656,56.689
1567044355.2007319927215576171875,37.7993492,-122.4181588,56.148
1567044356.200933933258056640625,37.7993366,-122.4182477,55.675
1567044357.201136112213134765625,37.7993214,-122.4183369,54.948
1567044358.2013370990753173828125,37.7993101,-122.4184292,54.358
1567044359.20153713226318359375,37.7992974,-122.4185237,53.554
1567044360.2017390727996826171875,37.7992859,-122.4186199,52.282
1567044361.201940059661865234375,37.7992781,-122.4187126,51.304
1567044362.2021410465240478515625,37.7992723,-122.4187958,50.45
1567044363.2023410797119140625,37.7992666,-122.4188639,50.031
1567044364.2025420665740966796875,37.7992599,-122.418915,49.609
1567044365.202742099761962890625,37.799253,-122.4189523,49.44
1567044366.20294189453125,37.7992514,-122.4189866,49.382
1567044367.2031438350677490234375,37.7992575,-122.4190205,49.08
1567044368.2033460140228271484375,37.7992763,-122.4190486,48.687
1567044369.2035467624664306640625,37.7993039,-122.4190682,48.543
1567044370.203749179840087890625,37.7993383,-122.4190814,48.686
1567044371.203948974609375,37.7993776,-122.4190923,49.329
1567044372.2041499614715576171875,37.7994241,-122.4191036,50.011
1567044373.204349040985107421875,37.7994779,-122.4191167,51.363
1567044374.2045490741729736328125,37.7995403,-122.4191298,52.23
1567044375.2047479152679443359375,37.7996122,-122.4191442,53.729
1567044376.204948902130126953125,37.799689,-122.4191601,54.762
1567044377.205151081085205078125,37.7997663,-122.4191717,55.562
1567044378.20534992218017578125,37.79984,-122.4191903,57.108
1567044379.2055511474609375,37.7999053,-122.4192042,57.986
1567044380.205750942230224609375,37.7999614,-122.4192153,58.803
1567044381.2059509754180908203125,37.8000094,-122.419225,59.558
1567044382.20615386962890625,37.8000547,-122.4192329,59.492
1567044383.2063539028167724609375,37.8001071,-122.4192444,59.739
1567044384.206554889678955078125,37.8001674,-122.419258,59.808
1567044385.206756114959716796875,37.8002312,-122.4192737,59.731
1567044386.2069561481475830078125,37.8002983,-122.4192839,60.445
1567044387.2071549892425537109375,37.8003669,-122.4192937,62.074
1567044388.207352161407470703125,37.8004359,-122.4193077,64.08
1567044389.20755100250244140625,37.8005027,-122.4193278,65.822
1567044390.2077519893646240234375,37.8005687,-122.4193463,66.337
1567044391.207953929901123046875,37.800636,-122.419363,66.007
1567044392.208154201507568359375,37.8007033,-122.4193797,66.081
1567044393.2083570957183837890625,37.8007599,-122.4193943,64.706
1567044394.20855808258056640625,37.8008142,-122.4194068,64.067
1567044395.2087581157684326171875,37.8008636,-122.4194191,63.986
1567044396.2089588642120361328125,37.8009102,-122.4194274,63.816
1567044397.20915985107421875,37.8009445,-122.4194301,63.982
1567044398.20936298370361328125,37.8009795,-122.4194307,62.962
1567044399.20956707000732421875,37.801024,-122.4194384,61.941
1567044400.2097589969635009765625,37.8010828,-122.4194564,64.727
1567044401.2099630832672119140625,37.8011341,-122.4194679,63.999
1567044402.2101628780364990234375,37.8012023,-122.4194818,64.339
1567044403.210360050201416015625,37.8012751,-122.4195007,65.183
1567044404.2105610370635986328125,37.8013496,-122.4195164,64.524
1567044405.21076107025146484375,37.8014278,-122.4195295,64.328
1567044406.210960865020751953125,37.8015051,-122.4195418,64.479
1567044407.211166858673095703125,37.8015782,-122.4195525,62.347
1567044408.211365222930908203125,37.8016477,-122.4195727,62.417
1567044409.2115671634674072265625,37.8017099,-122.4195826,61.539
1567044410.21176910400390625,37.8017675,-122.4195907,61.109
1567044411.2119700908660888671875,37.80182,-122.4196033,60.804
1567044412.2121679782867431640625,37.8018664,-122.4196115,61.334
1567044413.21237087249755859375,37.8018934,-122.4196164,60.448
1567044414.2125790119171142578125,37.8019045,-122.4196108,58.088
1567044415.2127850055694580078125,37.8019162,-122.4196076,56.628
1567044416.2129840850830078125,37.8019395,-122.4196094,57.21
1567044417.2131869792938232421875,37.8019625,-122.4196025,56.451
1567044418.213387966156005859375,37.8019833,-122.4195876,56.101
1567044419.213593006134033203125,37.8019987,-122.4195626,54.584
1567044420.213795185089111328125,37.8020125,-122.4195385,53.829
1567044421.21399593353271484375,37.8020258,-122.419514,53.375
1567044422.2141969203948974609375,37.8020397,-122.419491,52.967
1567044423.214398860931396484375,37.8020535,-122.4194711,52.228
1567044424.2145998477935791015625,37.8020669,-122.4194551,51.673
1567044425.2148020267486572265625,37.8020776,-122.4194427,51.183
1567044426.2150027751922607421875,37.8020838,-122.4194338,50.833
1567044427.2152040004730224609375,37.8020859,-122.4194304,50.771
1567044428.215404033660888671875,37.802087,-122.4194286,50.821
1567044429.2156050205230712890625,37.80209,-122.4194231,50.772
1567044430.2158069610595703125,37.8020947,-122.4194129,50.425
1567044431.2160089015960693359375,37.8020992,-122.4193988,50.087
1567044432.2162120342254638671875,37.8021008,-122.4193819,49.443
1567044433.216414928436279296875,37.8021002,-122.4193626,48.697
1567044434.2166168689727783203125,37.8020945,-122.4193432,48.207
1567044435.2168190479278564453125,37.8020854,-122.4193256,47.68
1567044436.21702098846435546875,37.802075,-122.4193125,47.239
1567044437.2172219753265380859375,37.8020647,-122.4193025,47.299
1567044438.217423915863037109375,37.802056,-122.4192944,47.137
1567044439.217625141143798828125,37.8020478,-122.4192845,47.045
1567044440.2178270816802978515625,37.8020384,-122.4192719,46.85
1567044441.218029022216796875,37.8020303,-122.4192586,46.72
1567044442.2182309627532958984375,37.8020241,-122.4192453,46.548
1567044443.218431949615478515625,37.802021,-122.4192325,46.594
1567044444.2186338901519775390625,37.8020195,-122.4192202,46.557
1567044445.2188360691070556640625,37.8020194,-122.4192062,46.438
1567044446.2190399169921875,37.8020233,-122.419189,45.91
1567044447.219242095947265625,37.8020324,-122.4191708,45.568
1567044448.2194449901580810546875,37.8020469,-122.4191557,45.143
1567044449.219645977020263671875,37.8020637,-122.4191444,44.96
1567044450.2198488712310791015625,37.8020796,-122.4191372,44.368
1567044451.2200520038604736328125,37.8020953,-122.4191305,44.033
1567044452.2202560901641845703125,37.8021098,-122.4191224,43.451
1567044453.22045803070068359375,37.8021235,-122.4191125,43.298
1567044454.2206609249114990234375,37.8021364,-122.4191001,43.021
1567044455.220861911773681640625,37.8021482,-122.4190856,43.415
1567044456.221065044403076171875,37.8021556,-122.4190695,43.295
1567044457.2212679386138916015625,37.8021578,-122.4190488,43.363
1567044458.2214729785919189453125,37.8021536,-122.419028,42.594
1567044459.2216770648956298828125,37.8021447,-122.419009,41.814
1567044460.2218821048736572265625,37.8021312,-122.4189904,40.999
1567044461.22208404541015625,37.8021153,-122.4189718,40.77
1567044462.22228717803955078125,37.8020982,-122.4189538,40.24
1567044463.2224900722503662109375,37.802083,-122.4189368,39.623
1567044464.2226932048797607421875,37.8020713,-122.4189212,39.154
1567044465.222896099090576171875,37.802064,-122.4189064,38.734
1567044466.2230989933013916015625,37.8020607,-122.4188895,38.506
1567044467.2233011722564697265625,37.8020609,-122.4188698,38.241
1567044468.22350311279296875,37.802068,-122.4188495,38.156
1567044469.2237060070037841796875,37.802081,-122.4188317,37.856
1567044470.2239081859588623046875,37.8020976,-122.4188192,37.6
1567044471.224110126495361328125,37.8021145,-122.4188117,37.355
1567044472.2243120670318603515625,37.8021299,-122.4188064,37.11
1567044473.22451305389404296875,37.8021449,-122.4188013,37.438
1567044474.2247149944305419921875,37.8021579,-122.4187939,37.315
1567044475.2249181270599365234375,37.8021699,-122.4187837,36.884
1567044476.225120067596435546875,37.802181,-122.4187688,36.944
1567044477.2253239154815673828125,37.8021895,-122.4187507,36.422
1567044478.2255280017852783203125,37.8021943,-122.4187298,36.182
1567044479.2257311344146728515625,37.8021917,-122.4187051,36.003
1567044480.22593402862548828125,37.8021813,-122.4186803,35.792
1567044481.2261388301849365234375,37.802164,-122.4186587,34.815
1567044482.2263419628143310546875,37.8021468,-122.4186391,34.472
1567044483.226544857025146484375,37.8021313,-122.41862,33.887
1567044484.226747989654541015625,37.8021176,-122.4185988,33.373
1567044485.2269508838653564453125,37.8021101,-122.4185777,33.117
1567044486.2271518707275390625,37.8021095,-122.4185584,33.184
1567044487.2273547649383544921875,37.8021128,-122.4185396,32.834
1567044488.2275578975677490234375,37.8021226,-122.4185219,32.54
1567044489.227760791778564453125,37.8021389,-122.4185079,32.196
1567044490.227963924407958984375,37.8021588,-122.4184963,32.026
1567044491.228165149688720703125,37.8021799,-122.4184847,31.899
1567044492.2283670902252197265625,37.8022008,-122.4184716,31.658
1567044493.22856903076171875,37.8022178,-122.418456,31.539
1567044494.22877216339111328125,37.8022289,-122.4184393,30.946
1567044495.2289750576019287109375,37.8022359,-122.4184213,30.927
1567044496.229179859161376953125,37.8022384,-122.4184027,30.059
1567044497.229384899139404296875,37.8022358,-122.4183805,29.406
1567044498.229588985443115234375,37.8022266,-122.4183577,28.473
1567044499.229792118072509765625,37.8022133,-122.4183357,28.062
1567044500.2299959659576416015625,37.8021972,-122.4183158,27.444
1567044501.2301990985870361328125,37.8021802,-122.4182973,27.002
1567044502.2304031848907470703125,37.8021657,-122.4182791,26.337
1567044503.23060703277587890625,37.8021546,-122.4182573,25.463
1567044504.2308101654052734375,37.8021495,-122.4182325,24.523
1567044505.2310121059417724609375,37.8021521,-122.4182103,24.5
1567044506.231215000152587890625,37.8021587,-122.4181949,24.205
1567044507.231418132781982421875,37.8021634,-122.4181867,23.841
1567044508.2316200733184814453125,37.802166,-122.4181839,23.839
1567044509.2318232059478759765625,37.8021728,-122.4181777,23.695
1567044510.23202610015869140625,37.8021877,-122.4181661,23.281
1567044511.2322280406951904296875,37.802203,-122.4181547,23.167
1567044512.2324321269989013671875,37.8022133,-122.4181453,22.728
1567044513.2326347827911376953125,37.8022245,-122.4181312,22.872
1567044514.2328388690948486328125,37.8022328,-122.4181074,22.412
1567044515.2330429553985595703125,37.8022289,-122.4180775,22.146
1567044516.23324489593505859375,37.8022099,-122.4180466,22.517
1567044517.2334499359130859375,37.8021736,-122.4180227,21.934
1567044518.23365306854248046875,37.8021228,-122.4180079,22.118
1567044519.2338550090789794921875,37.8020607,-122.417996,23.114
1567044520.234057903289794921875,37.8019878,-122.4179825,23.868
